 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z,11.1320,5.4732,9.4771,5.4732,9.4771,14.7114,6.0724,2.3341,89.7866,0.6464,1,2.6016,0.3844,0.9159
2,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0002-0001-0070:c:1/2 t:2/241 - 1 - Position 8.Project Maximum Z,12.1968,5.4010,7.6989,5.4010,7.6989,15.4515,6.4455,2.4093,102.4905,0.6420,2,2.6752,0.3738,0.9210
3,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0003-0001-0086:c:1/2 t:3/241 - 1 - Position 8.Project Maximum Z,11.1199,5.7691,9.2894,5.7691,9.2894,14.6847,6.1464,2.3035,91.1755,0.6480,3,2.6683,0.3748,0.9464
4,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0004-0001-0108:c:1/2 t:4/241 - 1 - Position 8.Project Maximum Z,13.3100,5.3716,12.0747,5.3716,12.0747,18.2627,7.7962,2.1737,71.6118,0.5015,4,3.5865,0.2788,0.8758
5,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0005-0001-0130:c:1/2 t:5/241 - 1 - Position 8.Project Maximum Z,12.6929,4.3909,14.5637,4.3909,14.5637,18.1494,8.0191,2.0153,60.5714,0.4842,5,3.9790,0.2513,0.9000
6,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0006-0001-0127:c:1/2 t:6/241 - 1 - Position 8.Project Maximum Z,12.0879,4.6899,14.1354,4.6899,14.1354,15.9982,6.8163,2.2580,64.7304,0.5935,6,3.0188,0.3313,0.9241
7,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0007-0001-0107:c:1/2 t:7/241 - 1 - Position 8.Project Maximum Z,12.1484,5.5050,11.8260,5.5050,11.8260,16.0737,6.8452,2.2597,70.5146,0.5909,7,3.0293,0.3301,0.9418
8,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0008-0001-0077:c:1/2 t:8/241 - 1 - Position 8.Project Maximum Z,13.1285,5.9265,8.4774,5.9265,8.4774,18.7515,8.0039,2.0884,91.7989,0.4692,8,3.8325,0.2609,0.8670
9,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0009-0001-0071:c:1/2 t:9/241 - 1 - Position 8.Project Maximum Z,12.8502,5.8345,7.7998,5.8345,7.7998,17.5870,7.5039,2.1804,97.7909,0.5221,9,3.4415,0.2906,0.8737
10,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0010-0001-0088:c:1/2 t:10/241 - 1 - Position 8.Project Maximum Z,9.4501,5.9346,9.5595,5.9346,9.5595,13.5203,5.6152,2.1428,85.4810,0.6496,10,2.6205,0.3816,0.9303
11,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0011-0001-0097:c:1/2 t:11/241 - 1 - Position 8.Project Maximum Z,13.3584,5.8939,10.7646,5.8939,10.7646,16.4714,7.1177,2.3896,81.7537,0.6187,11,2.9786,0.3357,0.9273
12,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0012-0001-0105:c:1/2 t:12/241 - 1 - Position 8.Project Maximum Z,12.6687,5.6106,11.6221,5.6106,11.6221,16.8359,7.4005,2.1796,75.7082,0.5617,12,3.3953,0.2945,0.9357
13,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0013-0001-0093:c:1/2 t:13/241 - 1 - Position 8.Project Maximum Z,10.3697,5.8622,10.5312,5.8622,10.5312,13.7025,5.1569,2.5603,72.1088,0.6940,13,2.0142,0.4965,0.9195
14,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0014-0001-0074:c:1/2 t:14/241 - 1 - Position 8.Project Maximum Z,12.1484,5.8448,8.3293,5.8448,8.3293,16.9114,7.2978,2.1195,92.8051,0.5338,14,3.4432,0.2904,0.8960
15,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0015-0001-0066:c:1/2 t:15/241 - 1 - Position 8.Project Maximum Z,12.7897,5.6973,7.1889,5.6973,7.1889,17.0826,7.2576,2.2438,104.5856,0.5508,15,3.2345,0.3092,0.8646
16,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0016-0001-0089:c:1/2 t:16/241 - 1 - Position 8.Project Maximum Z,10.8537,6.0304,9.6771,6.0304,9.6771,14.9958,6.4043,2.1578,87.5501,0.6065,16,2.9680,0.3369,0.9522
17,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0017-0001-0110:c:1/2 t:17/241 - 1 - Position 8.Project Maximum Z,13.6609,5.5488,12.2847,5.5488,12.2847,19.1537,8.4752,2.0523,74.2566,0.4679,17,4.1297,0.2422,0.9319
18,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0018-0001-0103:c:1/2 t:18/241 - 1 - Position 8.Project Maximum Z,11.1804,5.7281,11.6076,5.7281,11.6076,15.1404,6.3519,2.2411,72.9361,0.6129,18,2.8342,0.3528,0.9405
19,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0019-0001-0080:c:1/2 t:19/241 - 1 - Position 8.Project Maximum Z,13.0317,6.2783,8.9633,6.2783,8.9633,17.5070,7.7327,2.1457,84.0394,0.5343,19,3.6037,0.2775,0.9162
20,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0020-0001-0068:c:1/2 t:20/241 - 1 - Position 8.Project Maximum Z,12.7655,6.0509,7.3949,6.0509,7.3949,18.4293,7.5741,2.1459,101.4156,0.4723,20,3.5295,0.2833,0.8474
21,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0021-0001-0086:c:1/2 t:21/241 - 1 - Position 8.Project Maximum Z,9.7284,6.4065,9.2232,6.4065,9.2232,13.2358,5.1854,2.3887,86.3016,0.6978,21,2.1708,0.4607,0.9498
22,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0022-0001-0113:c:1/2 t:22/241 - 1 - Position 8.Project Maximum Z,12.6687,5.7713,12.3766,5.7713,12.3766,18.2627,8.0810,1.9961,70.8165,0.4773,22,4.0485,0.2470,0.9018
23,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0023-0001-0114:c:1/2 t:23/241 - 1 - Position 8.Project Maximum Z,12.4025,5.6984,12.5307,5.6984,12.5307,17.3293,7.6832,2.0553,71.6415,0.5190,23,3.7382,0.2675,0.8964
24,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0024-0001-0089:c:1/2 t:24/241 - 1 - Position 8.Project Maximum Z,11.4708,6.4492,9.8169,6.4492,9.8169,15.5804,6.5838,2.2183,76.3166,0.5938,24,2.9679,0.3369,0.9386
25,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0025-0001-0077:c:1/2 t:25/241 - 1 - Position 8.Project Maximum Z,11.3014,6.4463,8.5239,6.4463,8.5239,15.5270,6.6622,2.1599,88.6772,0.5891,25,3.0846,0.3242,0.9157
26,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0026-0001-0081:c:1/2 t:26/241 - 1 - Position 8.Project Maximum Z,12.4751,6.4037,8.7366,6.4037,8.7366,16.1870,6.9137,2.2974,87.5915,0.5983,26,3.0093,0.3323,0.9356
27,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0027-0001-0064:c:1/2 t:27/241 - 1 - Position 8.Project Maximum Z,12.4630,5.8617,6.6967,5.8617,6.6967,17.9405,7.0469,2.2518,111.7338,0.4866,27,3.1294,0.3195,0.7762
28,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0028-0001-0074:c:1/2 t:28/241 - 1 - Position 8.Project Maximum Z,9.7284,6.2242,7.8634,6.2242,7.8634,14.0137,5.3551,2.3131,95.5510,0.6225,28,2.3151,0.4319,0.8933
29,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0029-0001-0098:c:1/2 t:29/241 - 1 - Position 8.Project Maximum Z,12.3178,6.3181,10.6537,6.3181,10.6537,17.5070,7.8400,2.0005,82.5565,0.5050,29,3.9191,0.2552,0.9146
30,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0030-0001-0112:c:1/2 t:30/241 - 1 - Position 8.Project Maximum Z,12.8139,5.7821,12.4505,5.7821,12.4505,19.4004,8.5920,1.8989,72.1357,0.4278,30,4.5248,0.2210,0.9133
31,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0031-0001-0122:c:1/2 t:31/241 - 1 - Position 8.Project Maximum Z,12.6082,5.3179,13.6209,5.3179,13.6209,19.3894,8.7258,1.8398,68.6795,0.4214,31,4.7429,0.2108,0.9221
32,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0032-0001-0114:c:1/2 t:32/241 - 1 - Position 8.Project Maximum Z,11.7128,5.3792,12.9624,5.3792,12.9624,16.6205,6.9457,2.1471,64.1077,0.5328,32,3.2349,0.3091,0.8756
33,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0033-0001-0106:c:1/2 t:33/241 - 1 - Position 8.Project Maximum Z,11.2288,6.2442,11.5926,6.2442,11.5926,14.5227,5.7774,2.4746,57.9352,0.6690,33,2.3346,0.4283,0.9197
34,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0034-0001-0098:c:1/2 t:34/241 - 1 - Position 8.Project Maximum Z,12.2694,6.7865,10.6935,6.7865,10.6935,16.4916,7.1954,2.1711,63.3608,0.5669,34,3.3142,0.3017,0.9350
35,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0035-0001-0107:c:1/2 t:35/241 - 1 - Position 8.Project Maximum Z,9.2323,6.1214,11.7127,6.1214,11.7127,12.5381,4.9433,2.3779,68.7350,0.7380,35,2.0788,0.4810,0.9431
36,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0036-0001-0126:c:1/2 t:36/241 - 1 - Position 8.Project Maximum Z,12.8744,5.2611,13.7741,5.2611,13.7741,17.0338,7.4259,2.2074,67.7004,0.5576,36,3.3640,0.2973,0.9301
37,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0037-0001-0120:c:1/2 t:37/241 - 1 - Position 8.Project Maximum Z,10.8779,5.5014,13.1307,5.5014,13.1307,14.6893,6.0696,2.2819,65.6915,0.6335,37,2.6599,0.3760,0.9053
38,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0038-0001-0110:c:1/2 t:38/241 - 1 - Position 8.Project Maximum Z,9.9099,5.8415,12.0865,5.8415,12.0865,12.1782,4.6566,2.7097,57.0803,0.8397,38,1.7185,0.5819,0.9596
39,RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0039-0001-0099:c:1/2 t:39/241 - 1 - Position 8.Project Maximum Z,12.1363,5.9654,11.0445,5.9654,11.0445,15.3226,6.1811,2.5000,76.2323,0.6496,39,2.4725,0.4045,0.8872
