 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z,10.0188,1.9811,7.6546,1.9811,7.6546,15.3825,6.8197,1.8705,93.5449,0.5321,1,3.6459,0.2743,0.9195
2,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0002-0001-0100:c:1/2 t:2/241 - 1 - Position 2.Project Maximum Z,11.7854,2.6747,10.9866,2.6747,10.9866,17.5337,7.8622,1.9086,100.4852,0.4817,2,4.1194,0.2428,0.9167
3,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0003-0001-0089:c:1/2 t:3/241 - 1 - Position 2.Project Maximum Z,10.2366,2.6133,10.1069,2.6133,10.1069,14.4003,5.8951,2.2109,96.2553,0.6203,3,2.6664,0.3750,0.9266
4,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0004-0001-0083:c:1/2 t:4/241 - 1 - Position 2.Project Maximum Z,9.5348,2.3741,9.2203,2.3741,9.2203,13.6004,5.5128,2.2022,112.2341,0.6478,4,2.5034,0.3995,0.9392
5,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0005-0001-0078:c:1/2 t:5/241 - 1 - Position 2.Project Maximum Z,10.5149,2.4026,8.6728,2.4026,8.6728,14.7381,6.3036,2.1239,102.3199,0.6083,5,2.9680,0.3369,0.9359
6,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0006-0001-0097:c:1/2 t:6/241 - 1 - Position 2.Project Maximum Z,10.6359,2.9176,10.6344,2.9176,10.6344,15.5647,7.0012,1.9342,95.7531,0.5517,6,3.6196,0.2763,0.9371
7,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0007-0001-0104:c:1/2 t:7/241 - 1 - Position 2.Project Maximum Z,10.3697,3.1414,11.4997,3.1414,11.4997,16.1870,7.2629,1.8179,100.8841,0.4973,7,3.9953,0.2503,0.9035
8,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0008-0001-0097:c:1/2 t:8/241 - 1 - Position 2.Project Maximum Z,9.7526,3.1635,10.8246,3.1635,10.8246,13.9870,5.9419,2.0898,99.4507,0.6264,8,2.8433,0.3517,0.9296
9,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0009-0001-0081:c:1/2 t:9/241 - 1 - Position 2.Project Maximum Z,10.7448,2.6163,9.1151,2.6163,9.1151,15.5049,6.6654,2.0525,112.2075,0.5617,9,3.2475,0.3079,0.9352
10,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0010-0001-0074:c:1/2 t:10/241 - 1 - Position 2.Project Maximum Z,10.8053,2.4692,8.2381,2.4692,8.2381,14.9314,6.4500,2.1330,102.4219,0.6090,10,3.0239,0.3307,0.9395
11,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0011-0001-0089:c:1/2 t:11/241 - 1 - Position 2.Project Maximum Z,9.0992,2.8852,9.7689,2.8852,9.7689,12.5114,4.9567,2.3373,95.7519,0.7305,11,2.1207,0.4715,0.9525
12,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0012-0001-0108:c:1/2 t:12/241 - 1 - Position 2.Project Maximum Z,11.2651,3.1814,12.1414,3.1814,12.1414,17.1581,7.6364,1.8783,101.4210,0.4808,12,4.0656,0.2460,0.9119
13,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0013-0001-0095:c:1/2 t:13/241 - 1 - Position 2.Project Maximum Z,10.2003,3.0657,10.5800,3.0657,10.5800,13.3647,5.4168,2.3976,97.7066,0.7176,13,2.2593,0.4426,0.9483
14,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0014-0001-0072:c:1/2 t:14/241 - 1 - Position 2.Project Maximum Z,12.2089,2.5645,8.0261,2.5645,8.0261,18.1403,8.3714,1.8569,97.1465,0.4662,14,4.5082,0.2218,0.9244
15,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0015-0001-0054:c:1/2 t:15/241 - 1 - Position 2.Project Maximum Z,11.2167,2.6716,5.7720,2.6716,5.7720,17.4158,7.7535,1.8419,85.5798,0.4647,15,4.2094,0.2376,0.8901
16,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0016-0001-0072:c:1/2 t:16/241 - 1 - Position 2.Project Maximum Z,8.5547,2.6637,7.6666,2.6637,7.6666,12.4847,4.9937,2.1812,95.5021,0.6897,16,2.2894,0.4368,0.9266
17,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0017-0001-0096:c:1/2 t:17/241 - 1 - Position 2.Project Maximum Z,11.7370,2.9346,10.4578,2.9346,10.4578,17.1047,7.9412,1.8818,95.4844,0.5041,17,4.2199,0.2370,0.9282
18,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0018-0001-0089:c:1/2 t:18/241 - 1 - Position 2.Project Maximum Z,11.2772,2.9205,10.0013,2.9205,10.0013,15.9937,6.7150,2.1383,93.9170,0.5540,18,3.1404,0.3184,0.8554
19,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0019-0001-0071:c:1/2 t:19/241 - 1 - Position 2.Project Maximum Z,10.6964,2.6008,8.0805,2.6008,8.0805,15.6448,6.7911,2.0054,106.0763,0.5492,19,3.3863,0.2953,0.9300
20,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0020-0001-0076:c:1/2 t:20/241 - 1 - Position 2.Project Maximum Z,9.8857,2.8164,8.2653,2.8164,8.2653,13.8204,5.6671,2.2210,104.0839,0.6504,20,2.5516,0.3919,0.9369
21,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0021-0001-0095:c:1/2 t:21/241 - 1 - Position 2.Project Maximum Z,12.4751,3.1873,10.3057,3.1873,10.3057,17.6736,8.0657,1.9693,94.2935,0.5019,21,4.0957,0.2442,0.9164
22,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0022-0001-0105:c:1/2 t:22/241 - 1 - Position 2.Project Maximum Z,11.0352,3.4687,11.8350,3.4687,11.8350,17.4582,7.5661,1.8570,106.2967,0.4550,22,4.0743,0.2454,0.8575
23,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0023-0001-0099:c:1/2 t:23/241 - 1 - Position 2.Project Maximum Z,8.4942,3.0466,11.1648,3.0466,11.1648,13.1714,5.2727,2.0512,101.0046,0.6153,23,2.5706,0.3890,0.8988
24,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0024-0001-0073:c:1/2 t:24/241 - 1 - Position 2.Project Maximum Z,12.1242,2.5966,8.0678,2.5966,8.0678,19.0847,8.8544,1.7434,97.1464,0.4183,24,5.0788,0.1969,0.9184
25,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0025-0001-0049:c:1/2 t:25/241 - 1 - Position 2.Project Maximum Z,11.5797,2.9835,5.1451,2.9835,5.1451,17.5337,7.3420,2.0081,78.7276,0.4733,25,3.6561,0.2735,0.8568
26,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0026-0001-0065:c:1/2 t:26/241 - 1 - Position 2.Project Maximum Z,10.0067,2.8199,6.8711,2.8199,6.8711,14.6203,6.1269,2.0795,94.6371,0.5883,26,2.9464,0.3394,0.9345
27,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0027-0001-0086:c:1/2 t:27/241 - 1 - Position 2.Project Maximum Z,10.4181,3.0875,9.2081,3.0875,9.2081,16.1980,7.3744,1.7988,96.0210,0.4990,27,4.0997,0.2439,0.9268
28,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0028-0001-0106:c:1/2 t:28/241 - 1 - Position 2.Project Maximum Z,11.6160,3.5868,11.7451,3.5868,11.7451,17.6892,7.8900,1.8745,103.0812,0.4665,28,4.2091,0.2376,0.8922
29,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0029-0001-0096:c:1/2 t:29/241 - 1 - Position 2.Project Maximum Z,10.3455,3.3683,10.7985,3.3683,10.7985,15.0115,6.2600,2.1042,103.3099,0.5769,29,2.9750,0.3361,0.9038
30,RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0030-0001-0067:c:1/2 t:30/241 - 1 - Position 2.Project Maximum Z,11.1562,2.7576,7.3638,2.7576,7.3638,18.8647,8.5170,1.6678,93.3355,0.3939,30,5.1067,0.1958,0.8494
