 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z,14.0481,3.4787,5.2027,3.4787,5.2027,19.5228,8.3268,2.1481,61.3425,0.4632,1,3.8764,0.2580,0.8431
2,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0002-0001-0103:c:1/2 t:2/241 - 1 - Position 6.Project Maximum Z,13.4189,2.4271,11.5407,2.4271,11.5407,19.3093,8.0831,2.1137,99.1151,0.4523,2,3.8241,0.2615,0.8335
3,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0003-0001-0109:c:1/2 t:3/241 - 1 - Position 6.Project Maximum Z,12.9228,2.6481,12.2465,2.6481,12.2465,17.8982,7.5779,2.1713,105.9973,0.5069,3,3.4900,0.2865,0.8740
4,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0004-0001-0098:c:1/2 t:4/241 - 1 - Position 6.Project Maximum Z,10.9384,2.5833,11.1274,2.5833,11.1274,14.8937,5.7158,2.4366,90.9098,0.6197,4,2.3458,0.4263,0.8880
5,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0005-0001-0072:c:1/2 t:5/241 - 1 - Position 6.Project Maximum Z,12.7776,2.4815,7.9943,2.4815,7.9943,17.7758,8.2540,1.9710,87.9131,0.5082,5,4.1877,0.2388,0.9308
6,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0006-0001-0050:c:1/2 t:6/241 - 1 - Position 6.Project Maximum Z,13.1527,3.9334,5.4569,3.9334,5.4569,19.2761,8.5872,1.9502,62.9177,0.4448,6,4.4033,0.2271,0.8682
7,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0007-0001-0042:c:1/2 t:7/241 - 1 - Position 6.Project Maximum Z,11.8096,4.2918,4.5806,4.2918,4.5806,17.5695,7.8412,1.9176,56.0049,0.4808,7,4.0890,0.2446,0.8645
8,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0008-0001-0071:c:1/2 t:8/241 - 1 - Position 6.Project Maximum Z,10.4786,3.0441,7.6938,3.0441,7.6938,14.5181,6.1336,2.1752,74.9279,0.6247,8,2.8198,0.3546,0.9347
9,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0009-0001-0118:c:1/2 t:9/241 - 1 - Position 6.Project Maximum Z,12.6566,3.1965,12.9988,3.1965,12.9988,18.2627,7.7868,2.0695,111.0361,0.4769,9,3.7627,0.2658,0.8602
10,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0010-0001-0130:c:1/2 t:10/241 - 1 - Position 6.Project Maximum Z,12.9228,4.2948,14.5377,4.2948,14.5377,17.2584,7.4857,2.1980,129.2749,0.5452,10,3.4056,0.2936,0.8754
11,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0011-0001-0123:c:1/2 t:11/241 - 1 - Position 6.Project Maximum Z,11.3256,4.0964,13.7834,4.0964,13.7834,15.4671,6.5092,2.2154,119.2686,0.5949,11,2.9382,0.3403,0.9074
12,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0012-0001-0094:c:1/2 t:12/241 - 1 - Position 6.Project Maximum Z,10.3092,2.8942,10.4668,2.8942,10.4668,15.1514,6.5192,2.0134,104.2445,0.5643,12,3.2378,0.3088,0.9409
13,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0013-0001-0050:c:1/2 t:13/241 - 1 - Position 6.Project Maximum Z,13.0317,3.7953,5.4969,3.7953,5.4969,19.0028,8.5349,1.9441,65.1668,0.4535,13,4.3902,0.2278,0.9077
14,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0014-0001-0050:c:1/2 t:14/241 - 1 - Position 6.Project Maximum Z,12.9833,4.0385,5.4534,4.0385,5.4534,17.3182,7.5920,2.1774,70.2641,0.5440,14,3.4867,0.2868,0.9021
15,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0015-0001-0063:c:1/2 t:15/241 - 1 - Position 6.Project Maximum Z,10.5391,3.5598,6.8458,3.5598,6.8458,14.7648,6.1021,2.1990,74.9259,0.6075,15,2.7749,0.3604,0.9078
16,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0016-0001-0108:c:1/2 t:16/241 - 1 - Position 6.Project Maximum Z,13.3463,3.0548,11.9221,3.0548,11.9221,19.5937,8.3048,2.0462,98.0317,0.4369,16,4.0587,0.2464,0.8078
17,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0017-0001-0112:c:1/2 t:17/241 - 1 - Position 6.Project Maximum Z,13.6488,3.2641,12.5760,3.2641,12.5760,18.6116,7.9134,2.1960,105.1190,0.4952,17,3.6035,0.2775,0.8440
18,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0018-0001-0091:c:1/2 t:18/241 - 1 - Position 6.Project Maximum Z,10.9505,2.6493,10.2085,2.6493,10.2085,13.4825,5.3709,2.5960,96.8735,0.7570,18,2.0689,0.4833,0.9623
19,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0019-0001-0059:c:1/2 t:19/241 - 1 - Position 6.Project Maximum Z,13.6609,2.8540,6.4237,2.8540,6.4237,19.2937,8.6187,2.0181,82.6725,0.4612,19,4.2706,0.2342,0.8752
20,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0020-0001-0078:c:1/2 t:20/241 - 1 - Position 6.Project Maximum Z,11.3135,2.7921,8.4744,2.7921,8.4744,14.0137,5.5499,2.5955,90.0026,0.7239,20,2.1383,0.4677,0.9435
21,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0021-0001-0115:c:1/2 t:21/241 - 1 - Position 6.Project Maximum Z,14.4232,3.3216,12.7882,3.3216,12.7882,19.3894,7.9786,2.3017,107.9740,0.4821,21,3.4664,0.2885,0.8350
22,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0022-0001-0114:c:1/2 t:22/241 - 1 - Position 6.Project Maximum Z,12.8865,3.0750,12.7686,3.0750,12.7686,17.6938,7.0832,2.3164,109.0971,0.5173,22,3.0578,0.3270,0.7954
23,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0023-0001-0083:c:1/2 t:23/241 - 1 - Position 6.Project Maximum Z,12.0153,2.4867,9.3824,2.4867,9.3824,17.1692,7.7918,1.9634,91.0076,0.5122,23,3.9685,0.2520,0.9267
24,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0024-0001-0067:c:1/2 t:24/241 - 1 - Position 6.Project Maximum Z,12.0153,2.6642,7.3814,2.6642,7.3814,17.1958,7.8227,1.9556,85.3777,0.5106,24,4.0000,0.2500,0.9114
25,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0025-0001-0089:c:1/2 t:25/241 - 1 - Position 6.Project Maximum Z,9.4864,2.7918,9.5922,2.7918,9.5922,13.4669,5.7117,2.1147,87.4972,0.6573,25,2.7009,0.3702,0.9429
26,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0026-0001-0113:c:1/2 t:26/241 - 1 - Position 6.Project Maximum Z,13.0801,3.3656,12.5165,3.3656,12.5165,18.2093,8.0964,2.0570,105.7428,0.4957,26,3.9361,0.2541,0.8919
27,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0027-0001-0103:c:1/2 t:27/241 - 1 - Position 6.Project Maximum Z,10.2971,3.0481,11.5012,3.0481,11.5012,14.0247,6.0343,2.1727,97.8591,0.6579,27,2.7773,0.3601,0.9492
28,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0028-0001-0064:c:1/2 t:28/241 - 1 - Position 6.Project Maximum Z,12.7534,3.0355,7.1075,3.0355,7.1075,19.1758,8.7513,1.8555,84.9195,0.4358,28,4.7163,0.2120,0.8921
29,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0029-0001-0046:c:1/2 t:29/241 - 1 - Position 6.Project Maximum Z,13.2495,3.6953,4.8139,3.6953,4.8139,19.3139,7.9951,2.1100,62.3495,0.4463,29,3.7891,0.2639,0.8280
30,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0030-0001-0045:c:1/2 t:30/241 - 1 - Position 6.Project Maximum Z,10.7811,3.7307,4.7520,3.7307,4.7520,15.4938,6.5102,2.1085,61.4978,0.5644,30,3.0876,0.3239,0.8866
31,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0031-0001-0090:c:1/2 t:31/241 - 1 - Position 6.Project Maximum Z,12.7292,2.6046,9.6796,2.6046,9.6796,17.8825,7.9929,2.0277,85.1490,0.5002,31,3.9418,0.2537,0.8904
32,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0032-0001-0103:c:1/2 t:32/241 - 1 - Position 6.Project Maximum Z,12.0879,3.0794,11.6621,3.0794,11.6621,16.2670,6.0935,2.5258,107.1416,0.5740,32,2.4126,0.4145,0.8195
33,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0033-0001-0075:c:1/2 t:33/241 - 1 - Position 6.Project Maximum Z,13.8303,3.2757,8.5995,3.2757,8.5995,18.7625,8.2726,2.1286,85.8925,0.4937,33,3.8863,0.2573,0.8881
34,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0034-0001-0044:c:1/2 t:34/241 - 1 - Position 6.Project Maximum Z,12.0153,4.7530,4.6547,4.7530,4.6547,17.7849,7.6751,1.9932,66.2850,0.4774,34,3.8506,0.2597,0.8688
35,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0035-0001-0057:c:1/2 t:35/241 - 1 - Position 6.Project Maximum Z,10.1398,3.7810,6.2260,3.7810,6.2260,13.0269,5.2147,2.4758,85.1687,0.7509,35,2.1063,0.4748,0.9517
36,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0036-0001-0099:c:1/2 t:36/241 - 1 - Position 6.Project Maximum Z,12.6687,3.0832,10.8572,3.0832,10.8572,17.8936,8.2586,1.9531,89.3827,0.4972,36,4.2284,0.2365,0.9196
37,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0037-0001-0102:c:1/2 t:37/241 - 1 - Position 6.Project Maximum Z,11.6523,3.2646,11.3307,3.2646,11.3307,15.8381,6.7029,2.2134,93.9698,0.5837,37,3.0284,0.3302,0.8770
38,RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0038-0001-0066:c:1/2 t:38/241 - 1 - Position 6.Project Maximum Z,13.3342,3.3402,7.5993,3.3402,7.5993,18.4137,8.2901,2.0479,84.8225,0.4942,38,4.0480,0.2470,0.9160
