 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
241,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0220-0001-0040:c:1/2 t:220/241 - 1 - Position 5.Project Maximum Z,4.5133,3.1710,4.4081,3.1710,4.4081,7.9025,2.5435,2.2593,117.4073,0.9082,220,1.1258,0.8883,0.9372
242,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0220-0002-0163:c:1/2 t:220/241 - 1 - Position 5.Project Maximum Z,4.8763,3.6290,18.0246,3.6290,18.0246,8.1869,2.7582,2.2510,79.1151,0.9142,220,1.2253,0.8161,0.9516
243,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0221-0001-0040:c:1/2 t:221/241 - 1 - Position 5.Project Maximum Z,4.5254,3.1865,4.3794,3.1865,4.3794,7.8113,2.4530,2.3490,100.7358,0.9320,221,1.0443,0.9576,0.9480
244,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0221-0002-0162:c:1/2 t:221/241 - 1 - Position 5.Project Maximum Z,4.9610,3.6866,17.8935,3.6866,17.8935,8.3158,2.8242,2.2366,66.1283,0.9015,221,1.2627,0.7920,0.9469
245,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0222-0001-0039:c:1/2 t:222/241 - 1 - Position 5.Project Maximum Z,4.6585,3.0370,4.3716,3.0370,4.3716,7.9402,2.5314,2.3431,116.7170,0.9285,222,1.0804,0.9256,0.9506
246,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0222-0002-0162:c:1/2 t:222/241 - 1 - Position 5.Project Maximum Z,4.4528,3.6408,17.8308,3.6408,17.8308,7.6935,2.5800,2.1974,66.5067,0.9453,222,1.1741,0.8517,0.9583
247,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0223-0001-0039:c:1/2 t:223/241 - 1 - Position 5.Project Maximum Z,4.3802,3.0049,4.3094,3.0049,4.3094,7.6558,2.4639,2.2635,107.2095,0.9391,223,1.0886,0.9186,0.9476
248,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0223-0002-0161:c:1/2 t:223/241 - 1 - Position 5.Project Maximum Z,4.5375,3.6976,17.7773,3.6976,17.7773,7.8113,2.5828,2.2369,65.0808,0.9345,223,1.1546,0.8661,0.9482
249,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0224-0001-0039:c:1/2 t:224/241 - 1 - Position 5.Project Maximum Z,4.1019,2.8232,4.3865,2.8232,4.3865,7.4091,2.3982,2.1778,81.4865,0.9390,224,1.1012,0.9081,0.9536
250,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0224-0002-0160:c:1/2 t:224/241 - 1 - Position 5.Project Maximum Z,4.2955,3.4916,17.6249,3.4916,17.6249,7.6558,2.6693,2.0489,61.1897,0.9210,224,1.3028,0.7676,0.9467
