"frame","particle","area","x","y","major","minor","circularity","convexity","label"
1,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.0188,1.9811,7.6546,6.8197,1.8705,0.5321,0.9195,"hi"
2,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.7854,2.6747,10.9866,7.8622,1.9086,0.4817,0.9167,"hi"
3,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.2366,2.6133,10.1069,5.8951,2.2109,0.6203,0.9266,"hi"
4,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.5348,2.3741,9.2203,5.5128,2.2022,0.6478,0.9392,"hi"
5,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.5149,2.4026,8.6728,6.3036,2.1239,0.6083,0.9359,"hi"
6,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.6359,2.9176,10.6344,7.0012,1.9342,0.5517,0.9371,"hi"
7,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.3697,3.1414,11.4997,7.2629,1.8179,0.4973,0.9035,"hi"
8,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.7526,3.1635,10.8246,5.9419,2.0898,0.6264,0.9296,"hi"
9,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.7448,2.6163,9.1151,6.6654,2.0525,0.5617,0.9352,"hi"
10,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.8053,2.4692,8.2381,6.45,2.133,0.609,0.9395,"hi"
11,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.0992,2.8852,9.7689,4.9567,2.3373,0.7305,0.9525,"hi"
12,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.2651,3.1814,12.1414,7.6364,1.8783,0.4808,0.9119,"hi"
13,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.2003,3.0657,10.58,5.4168,2.3976,0.7176,0.9483,"hi"
14,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",12.2089,2.5645,8.0261,8.3714,1.8569,0.4662,0.9244,"hi"
15,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.2167,2.6716,5.772,7.7535,1.8419,0.4647,0.8901,"hi"
16,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",8.5547,2.6637,7.6666,4.9937,2.1812,0.6897,0.9266,"hi"
17,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.737,2.9346,10.4578,7.9412,1.8818,0.5041,0.9282,"hi"
18,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.2772,2.9205,10.0013,6.715,2.1383,0.554,0.8554,"hi"
19,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.6964,2.6008,8.0805,6.7911,2.0054,0.5492,0.93,"hi"
20,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.8857,2.8164,8.2653,5.6671,2.221,0.6504,0.9369,"hi"
21,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",12.4751,3.1873,10.3057,8.0657,1.9693,0.5019,0.9164,"hi"
22,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.0352,3.4687,11.835,7.5661,1.857,0.455,0.8575,"hi"
23,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",8.4942,3.0466,11.1648,5.2727,2.0512,0.6153,0.8988,"hi"
24,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",12.1242,2.5966,8.0678,8.8544,1.7434,0.4183,0.9184,"hi"
25,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.5797,2.9835,5.1451,7.342,2.0081,0.4733,0.8568,"hi"
26,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.0067,2.8199,6.8711,6.1269,2.0795,0.5883,0.9345,"hi"
27,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.4181,3.0875,9.2081,7.3744,1.7988,0.499,0.9268,"hi"
28,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.616,3.5868,11.7451,7.89,1.8745,0.4665,0.8922,"hi"
29,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.3455,3.3683,10.7985,6.26,2.1042,0.5769,0.9038,"hi"
30,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.1562,2.7576,7.3638,8.517,1.6678,0.3939,0.8494,"hi"
31,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.5434,2.9645,5.3114,7.1444,2.0572,0.4759,0.8314,"hi"
32,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.4864,2.7138,6.8996,5.6187,2.1497,0.5656,0.9011,"hi"
33,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.769,2.8721,10.1761,7.6002,1.8041,0.4851,0.9218,"hi"
34,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.8822,3.0485,11.2081,7.7849,1.9434,0.5198,0.9343,"hi"
35,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.317,3.1997,10.0307,6.3379,1.8717,0.574,0.9048,"hi"
36,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.737,3.2526,11.9429,8.1597,1.8314,0.456,0.9177,"hi"
37,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.1839,3.2298,11.5401,6.6107,1.7688,0.5169,0.902,"hi"
38,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.3818,3.1277,8.5086,6.8349,1.934,0.5744,0.9549,"hi"
39,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.7085,3.3209,6.939,7.7704,1.7547,0.475,0.919,"hi"
40,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",7.9255,3.264,8.0672,5.3832,1.8745,0.5845,0.9212,"hi"
41,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.9505,3.2618,11.822,7.9391,1.7562,0.4347,0.8782,"hi"
42,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.7526,3.4597,12.683,6.445,1.9267,0.5007,0.8212,"hi"
43,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.075,3.1978,11.5042,5.6277,2.0532,0.604,0.913,"hi"
44,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.2772,2.8072,7.609,8.17,1.7575,0.4413,0.8889,"hi"
45,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.8658,2.8895,5.6846,7.0469,1.9633,0.4744,0.8254,"hi"
46,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.7768,2.7595,8.3648,6.3245,1.9683,0.5352,0.8978,"hi"
47,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.2772,3.4262,11.4766,8.1105,1.7704,0.4324,0.8966,"hi"
48,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.7405,3.3057,10.3574,4.7168,2.6293,0.8348,0.9687,"hi"
49,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.4708,2.7719,7.8383,8.1152,1.7997,0.4683,0.9222,"hi"
50,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.3939,3.2826,9.4173,5.366,2.4663,0.7243,0.9409,"hi"
51,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.1398,3.6104,12.5206,6.3256,2.041,0.5539,0.8882,"hi"
52,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.0145,3.2618,11.7819,5.2039,2.2056,0.6753,0.9209,"hi"
53,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.7491,2.8371,8.4544,8.171,1.8308,0.4538,0.9204,"hi"
54,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.7405,3.0429,9.3756,6.287,1.9726,0.5726,0.8999,"hi"
55,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.8494,3.0654,11.1819,6.1501,2.0391,0.5991,0.9416,"hi"
56,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.8857,3.1623,11.5633,6.2351,2.0187,0.6035,0.9279,"hi"
57,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.0387,3.1874,9.7964,5.4233,2.122,0.6732,0.9486,"hi"
58,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.4345,3.0691,6.3344,8.178,1.7802,0.4293,0.8702,"hi"
59,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.5953,3.1704,7.813,6.0619,2.0154,0.5806,0.9168,"hi"
60,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.9825,3.0925,9.5289,6.5109,1.9521,0.5578,0.9061,"hi"
61,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.0957,3.2223,11.3523,7.6892,1.8373,0.4944,0.9207,"hi"
62,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.2608,3.2757,11.1677,7.4724,1.7484,0.501,0.9283,"hi"
63,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.011,3.3707,11.3775,7.4553,1.8805,0.5215,0.9206,"hi"
64,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",7.7924,3.3067,10.2283,5.2821,1.8783,0.647,0.92,"hi"
65,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.8338,3.0097,7.5775,8.0801,1.8647,0.497,0.9345,"hi"
66,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.0594,3.2472,6.1259,8.0971,1.7391,0.461,0.909,"hi"
67,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.4017,3.3975,8.4143,4.6705,2.563,0.8007,0.9557,"hi"
68,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.9505,3.5363,11.6578,7.9857,1.746,0.4204,0.8276,"hi"
69,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",12.0153,3.9021,13.0356,7.2679,2.1049,0.511,0.8583,"hi"
70,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.2729,3.4875,11.6278,6.1158,2.1387,0.5986,0.908,"hi"
71,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.2323,3.4486,9.8754,4.8502,2.4236,0.72,0.9356,"hi"
72,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.4103,3.3789,6.4328,8.1285,1.7873,0.4314,0.8636,"hi"
73,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.5754,3.2135,6.0924,6.9107,1.9484,0.5089,0.8688,"hi"
74,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",8.0465,3.2225,8.9404,4.7212,2.17,0.7378,0.9333,"hi"
75,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.7405,3.3245,10.9055,7.3639,1.6842,0.474,0.8783,"hi"
76,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.4864,3.3759,9.6599,6.3394,1.9053,0.5597,0.8745,"hi"
77,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",8.6031,3.8742,8.0581,5.0259,2.1795,0.6978,0.9486,"hi"
78,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.011,4.405,5.798,7.1699,1.9554,0.5246,0.9201,"hi"
79,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",8.2764,3.6916,7.8843,4.4659,2.3596,0.7688,0.9507,"hi"
80,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.374,3.4366,10.8444,7.8833,1.837,0.4864,0.9008,"hi"
81,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",11.6765,3.7858,12.1182,7.7288,1.9236,0.4947,0.9173,"hi"
82,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.2565,3.7202,11.646,6.5902,1.7884,0.5301,0.9048,"hi"
83,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",9.3775,3.527,10.3693,5.5551,2.1493,0.6727,0.948,"hi"
84,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",10.1156,3.57,10.2745,5.9429,2.1672,0.6107,0.9243,"hi"
85,"RoiMask_0_STL22_MAX_Maria_AFA4007_2-1.tif:0001-0001-0068:c:1/2 t:1/241 - 1 - Position 2.Project Maximum Z",8.4942,3.4138,9.285,5.085,2.1269,0.7203,0.9398,"hi"
