"frame","particle","area","x","y","major","minor","circularity","convexity","label"
1,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",14.0481,3.4787,5.2027,8.3268,2.1481,0.4632,0.8431,"hi"
2,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.4189,2.4271,11.5407,8.0831,2.1137,0.4523,0.8335,"hi"
3,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.9228,2.6481,12.2465,7.5779,2.1713,0.5069,0.874,"hi"
4,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.9384,2.5833,11.1274,5.7158,2.4366,0.6197,0.888,"hi"
5,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.7776,2.4815,7.9943,8.254,1.971,0.5082,0.9308,"hi"
6,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.1527,3.9334,5.4569,8.5872,1.9502,0.4448,0.8682,"hi"
7,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",11.8096,4.2918,4.5806,7.8412,1.9176,0.4808,0.8645,"hi"
8,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.4786,3.0441,7.6938,6.1336,2.1752,0.6247,0.9347,"hi"
9,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.6566,3.1965,12.9988,7.7868,2.0695,0.4769,0.8602,"hi"
10,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.9228,4.2948,14.5377,7.4857,2.198,0.5452,0.8754,"hi"
11,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",11.3256,4.0964,13.7834,6.5092,2.2154,0.5949,0.9074,"hi"
12,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.3092,2.8942,10.4668,6.5192,2.0134,0.5643,0.9409,"hi"
13,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.0317,3.7953,5.4969,8.5349,1.9441,0.4535,0.9077,"hi"
14,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.9833,4.0385,5.4534,7.592,2.1774,0.544,0.9021,"hi"
15,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.5391,3.5598,6.8458,6.1021,2.199,0.6075,0.9078,"hi"
16,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.3463,3.0548,11.9221,8.3048,2.0462,0.4369,0.8078,"hi"
17,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.6488,3.2641,12.576,7.9134,2.196,0.4952,0.844,"hi"
18,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.9505,2.6493,10.2085,5.3709,2.596,0.757,0.9623,"hi"
19,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.6609,2.854,6.4237,8.6187,2.0181,0.4612,0.8752,"hi"
20,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",11.3135,2.7921,8.4744,5.5499,2.5955,0.7239,0.9435,"hi"
21,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",14.4232,3.3216,12.7882,7.9786,2.3017,0.4821,0.835,"hi"
22,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.8865,3.075,12.7686,7.0832,2.3164,0.5173,0.7954,"hi"
23,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.0153,2.4867,9.3824,7.7918,1.9634,0.5122,0.9267,"hi"
24,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.0153,2.6642,7.3814,7.8227,1.9556,0.5106,0.9114,"hi"
25,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",9.4864,2.7918,9.5922,5.7117,2.1147,0.6573,0.9429,"hi"
26,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.0801,3.3656,12.5165,8.0964,2.057,0.4957,0.8919,"hi"
27,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.2971,3.0481,11.5012,6.0343,2.1727,0.6579,0.9492,"hi"
28,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.7534,3.0355,7.1075,8.7513,1.8555,0.4358,0.8921,"hi"
29,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.2495,3.6953,4.8139,7.9951,2.11,0.4463,0.828,"hi"
30,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.7811,3.7307,4.752,6.5102,2.1085,0.5644,0.8866,"hi"
31,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.7292,2.6046,9.6796,7.9929,2.0277,0.5002,0.8904,"hi"
32,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.0879,3.0794,11.6621,6.0935,2.5258,0.574,0.8195,"hi"
33,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",13.8303,3.2757,8.5995,8.2726,2.1286,0.4937,0.8881,"hi"
34,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",12.0153,4.753,4.6547,7.6751,1.9932,0.4774,0.8688,"hi"
35,"RoiMask_0_STL22_MAX_Maria_AFA4007_6-1.tif:0001-0001-0049:c:1/2 t:1/241 - 1 - Position 6.Project Maximum Z",10.1398,3.781,6.226,5.2147,2.4758,0.7509,0.9517,"hi"
