"frame","particle","area","x","y","major","minor","circularity","convexity","label"
1,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.132,5.4732,9.4771,6.0724,2.3341,0.6464,0.9159,"hi"
2,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.1968,5.401,7.6989,6.4455,2.4093,0.642,0.921,"hi"
3,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.1199,5.7691,9.2894,6.1464,2.3035,0.648,0.9464,"hi"
4,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.31,5.3716,12.0747,7.7962,2.1737,0.5015,0.8758,"hi"
5,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.6929,4.3909,14.5637,8.0191,2.0153,0.4842,0.9,"hi"
6,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.0879,4.6899,14.1354,6.8163,2.258,0.5935,0.9241,"hi"
7,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.1484,5.505,11.826,6.8452,2.2597,0.5909,0.9418,"hi"
8,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.1285,5.9265,8.4774,8.0039,2.0884,0.4692,0.867,"hi"
9,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.8502,5.8345,7.7998,7.5039,2.1804,0.5221,0.8737,"hi"
10,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.4501,5.9346,9.5595,5.6152,2.1428,0.6496,0.9303,"hi"
11,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.3584,5.8939,10.7646,7.1177,2.3896,0.6187,0.9273,"hi"
12,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.6687,5.6106,11.6221,7.4005,2.1796,0.5617,0.9357,"hi"
13,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.3697,5.8622,10.5312,5.1569,2.5603,0.694,0.9195,"hi"
14,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.1484,5.8448,8.3293,7.2978,2.1195,0.5338,0.896,"hi"
15,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.7897,5.6973,7.1889,7.2576,2.2438,0.5508,0.8646,"hi"
16,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.8537,6.0304,9.6771,6.4043,2.1578,0.6065,0.9522,"hi"
17,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.6609,5.5488,12.2847,8.4752,2.0523,0.4679,0.9319,"hi"
18,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.1804,5.7281,11.6076,6.3519,2.2411,0.6129,0.9405,"hi"
19,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.0317,6.2783,8.9633,7.7327,2.1457,0.5343,0.9162,"hi"
20,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.7655,6.0509,7.3949,7.5741,2.1459,0.4723,0.8474,"hi"
21,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.7284,6.4065,9.2232,5.1854,2.3887,0.6978,0.9498,"hi"
22,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.6687,5.7713,12.3766,8.081,1.9961,0.4773,0.9018,"hi"
23,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.4025,5.6984,12.5307,7.6832,2.0553,0.519,0.8964,"hi"
24,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.4708,6.4492,9.8169,6.5838,2.2183,0.5938,0.9386,"hi"
25,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.3014,6.4463,8.5239,6.6622,2.1599,0.5891,0.9157,"hi"
26,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.4751,6.4037,8.7366,6.9137,2.2974,0.5983,0.9356,"hi"
27,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.463,5.8617,6.6967,7.0469,2.2518,0.4866,0.7762,"hi"
28,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.7284,6.2242,7.8634,5.3551,2.3131,0.6225,0.8933,"hi"
29,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.3178,6.3181,10.6537,7.84,2.0005,0.505,0.9146,"hi"
30,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.8139,5.7821,12.4505,8.592,1.8989,0.4278,0.9133,"hi"
31,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.6082,5.3179,13.6209,8.7258,1.8398,0.4214,0.9221,"hi"
32,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.7128,5.3792,12.9624,6.9457,2.1471,0.5328,0.8756,"hi"
33,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.2288,6.2442,11.5926,5.7774,2.4746,0.669,0.9197,"hi"
34,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.2694,6.7865,10.6935,7.1954,2.1711,0.5669,0.935,"hi"
35,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.2323,6.1214,11.7127,4.9433,2.3779,0.738,0.9431,"hi"
36,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.8744,5.2611,13.7741,7.4259,2.2074,0.5576,0.9301,"hi"
37,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.8779,5.5014,13.1307,6.0696,2.2819,0.6335,0.9053,"hi"
38,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.9099,5.8415,12.0865,4.6566,2.7097,0.8397,0.9596,"hi"
39,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.1363,5.9654,11.0445,6.1811,2.5,0.6496,0.8872,"hi"
40,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.2936,6.0042,10.2188,6.0642,2.5812,0.6019,0.8502,"hi"
41,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.8943,6.0587,12.239,6.8124,2.223,0.5804,0.9077,"hi"
42,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.8217,5.8512,12.6334,6.4566,2.3312,0.6231,0.92,"hi"
43,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.648,5.9289,11.2513,4.9639,2.7312,0.7757,0.9534,"hi"
44,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.431,5.3708,7.0802,8.128,2.1039,0.4906,0.8988,"hi"
45,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.4509,5.6113,7.2435,6.3879,2.4817,0.6225,0.8821,"hi"
46,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.2807,6.2953,8.3404,4.7206,2.5032,0.7606,0.923,"hi"
47,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.8744,5.9102,8.016,5.9135,2.772,0.7093,0.904,"hi"
48,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.2331,4.8293,6.6108,6.7613,2.3036,0.6391,0.9039,"hi"
49,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.4786,5.8319,8.1589,5.2819,2.5259,0.683,0.9068,"hi"
50,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.6687,5.4685,12.6124,8.1986,1.9674,0.4742,0.9221,"hi"
51,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.9911,5.4101,13.6577,6.9593,2.1938,0.5465,0.8731,"hi"
52,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",8.8693,6.0246,11.992,4.5481,2.483,0.79,0.9397,"hi"
53,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.8252,5.9855,11.1557,5.0605,2.4721,0.7617,0.9366,"hi"
54,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.1519,6.0895,10.618,5.4828,2.3575,0.7142,0.954,"hi"
55,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.3654,6.1475,11.4697,4.2983,2.7742,0.8509,0.9579,"hi"
56,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.6843,5.4646,12.661,5.474,2.4852,0.7134,0.9359,"hi"
57,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.3697,5.7876,11.3183,5.3084,2.4872,0.7511,0.9624,"hi"
58,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",12.3662,5.8362,7.6786,7.2557,2.17,0.4972,0.8713,"hi"
59,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",13.1043,5.4774,6.2587,6.7847,2.4592,0.5598,0.8629,"hi"
60,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",9.6437,5.9553,7.4671,4.8316,2.5413,0.7553,0.9399,"hi"
61,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",10.7206,6.1206,7.3365,4.6502,2.9354,0.7598,0.9317,"hi"
62,"RoiMask_0_STL22_MAX_Maria_AFA4007_8-1.tif:0001-0001-0086:c:1/2 t:1/241 - 1 - Position 8.Project Maximum Z",11.9669,5.7747,7.181,5.0979,2.9888,0.7571,0.9234,"hi"
