 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
168,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0168-0001-0113:c:1/2 t:168/241 - 1 - Position 9.Project Maximum Z,7.9134,6.8694,12.3400,6.8694,12.3400,10.7514,3.8365,2.6263,88.0348,0.8603,168,1.4608,0.6845,0.9471
169,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0169-0001-0112:c:1/2 t:169/241 - 1 - Position 9.Project Maximum Z,8.0828,6.8814,12.2528,6.8814,12.2528,10.9447,3.9063,2.6345,83.7539,0.8479,169,1.4828,0.6744,0.9495
170,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0170-0001-0112:c:1/2 t:170/241 - 1 - Position 9.Project Maximum Z,8.4821,6.8858,12.2557,6.8858,12.2557,11.1647,4.0221,2.6851,84.6067,0.8551,170,1.4980,0.6676,0.9531
171,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0171-0001-0113:c:1/2 t:171/241 - 1 - Position 9.Project Maximum Z,7.8650,6.8689,12.3515,6.8689,12.3515,10.7892,3.8652,2.5908,81.1299,0.8491,171,1.4919,0.6703,0.9448
172,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0172-0001-0111:c:1/2 t:172/241 - 1 - Position 9.Project Maximum Z,8.2280,6.7969,12.2001,6.7969,12.2001,11.0358,3.9691,2.6394,81.0435,0.8490,172,1.5038,0.6650,0.9464
173,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0173-0001-0112:c:1/2 t:173/241 - 1 - Position 9.Project Maximum Z,7.8650,6.8762,12.2990,6.8762,12.2990,10.6336,3.8576,2.5959,83.8528,0.8741,173,1.4860,0.6729,0.9538
174,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0174-0001-0111:c:1/2 t:174/241 - 1 - Position 9.Project Maximum Z,8.3006,6.8647,12.2230,6.8647,12.2230,10.8803,3.8730,2.7288,84.9690,0.8811,174,1.4193,0.7046,0.9534
175,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0175-0001-0111:c:1/2 t:175/241 - 1 - Position 9.Project Maximum Z,8.2885,6.8098,12.1473,6.8098,12.1473,10.9714,3.8180,2.7641,78.4046,0.8653,175,1.3813,0.7240,0.9455
176,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0176-0001-0112:c:1/2 t:176/241 - 1 - Position 9.Project Maximum Z,8.5305,6.8391,12.2574,6.8391,12.2574,11.1647,3.9878,2.7237,86.7636,0.8600,176,1.4641,0.6830,0.9521
177,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0177-0001-0113:c:1/2 t:177/241 - 1 - Position 9.Project Maximum Z,8.9661,6.9440,12.3469,6.9440,12.3469,11.2292,4.0745,2.8018,87.0639,0.8936,177,1.4543,0.6876,0.9623
178,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0178-0001-0112:c:1/2 t:178/241 - 1 - Position 9.Project Maximum Z,8.7967,6.8196,12.2556,6.8196,12.2556,11.4114,4.0745,2.7489,89.4334,0.8489,178,1.4823,0.6746,0.9460
179,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0179-0001-0112:c:1/2 t:179/241 - 1 - Position 9.Project Maximum Z,8.2280,6.7647,12.2241,6.7647,12.2241,10.9714,3.9877,2.6271,92.2765,0.8590,179,1.5179,0.6588,0.9451
180,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0180-0001-0111:c:1/2 t:180/241 - 1 - Position 9.Project Maximum Z,7.9376,6.7113,12.1178,6.7113,12.1178,10.7892,3.8235,2.6433,88.0949,0.8569,180,1.4465,0.6913,0.9521
181,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0181-0001-0111:c:1/2 t:181/241 - 1 - Position 9.Project Maximum Z,7.7440,6.6975,12.1426,6.6975,12.1426,10.5692,3.7996,2.5950,93.8314,0.8712,181,1.4642,0.6830,0.9524
182,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0182-0001-0111:c:1/2 t:182/241 - 1 - Position 9.Project Maximum Z,8.2401,6.7198,12.2127,6.7198,12.2127,10.9447,3.8326,2.7375,94.3221,0.8644,182,1.4000,0.7143,0.9531
183,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0183-0001-0112:c:1/2 t:183/241 - 1 - Position 9.Project Maximum Z,8.2764,6.7954,12.1912,6.7954,12.1912,10.8158,3.7509,2.8094,90.7818,0.8891,183,1.3351,0.7490,0.9566
184,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0184-0001-0111:c:1/2 t:184/241 - 1 - Position 9.Project Maximum Z,7.9013,6.7706,12.1724,6.7706,12.1724,10.5958,3.6906,2.7259,93.8970,0.8844,184,1.3539,0.7386,0.9540
185,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0185-0001-0112:c:1/2 t:185/241 - 1 - Position 9.Project Maximum Z,7.9739,6.7350,12.2562,6.7350,12.2562,10.5692,3.6196,2.8049,88.7595,0.8970,185,1.2904,0.7749,0.9551
186,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0186-0001-0111:c:1/2 t:186/241 - 1 - Position 9.Project Maximum Z,8.2159,6.7206,12.2266,6.7206,12.2266,10.8536,3.7366,2.7996,91.8942,0.8764,186,1.3347,0.7492,0.9523
187,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0187-0001-0111:c:1/2 t:187/241 - 1 - Position 9.Project Maximum Z,7.5867,6.7348,12.1897,6.7348,12.1897,10.3492,3.5507,2.7205,84.7843,0.8901,187,1.3052,0.7662,0.9507
188,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0188-0001-0113:c:1/2 t:188/241 - 1 - Position 9.Project Maximum Z,8.1917,6.7682,12.3734,6.7682,12.3734,10.7892,3.6659,2.8451,83.5490,0.8843,188,1.2885,0.7761,0.9488
189,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0189-0001-0111:c:1/2 t:189/241 - 1 - Position 9.Project Maximum Z,7.7198,6.7066,12.2059,6.7066,12.2059,10.5047,3.5656,2.7567,92.1972,0.8791,189,1.2934,0.7731,0.9466
190,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0190-0001-0111:c:1/2 t:190/241 - 1 - Position 9.Project Maximum Z,7.3205,6.8423,12.2501,6.8423,12.2501,10.1025,3.4627,2.6917,95.2134,0.9014,190,1.2864,0.7773,0.9573
191,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0191-0001-0112:c:1/2 t:191/241 - 1 - Position 9.Project Maximum Z,8.7120,6.7561,12.3075,6.7561,12.3075,11.1003,3.7419,2.9644,91.9266,0.8885,191,1.2623,0.7922,0.9568
192,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0192-0001-0112:c:1/2 t:192/241 - 1 - Position 9.Project Maximum Z,8.2885,6.7157,12.2456,6.7157,12.2456,10.6336,3.6554,2.8870,80.7031,0.9211,192,1.2662,0.7898,0.9641
193,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0193-0001-0113:c:1/2 t:193/241 - 1 - Position 9.Project Maximum Z,8.4579,6.8157,12.4103,6.8157,12.4103,10.8536,3.7946,2.8380,74.6134,0.9022,193,1.3371,0.7479,0.9621
194,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0194-0001-0113:c:1/2 t:194/241 - 1 - Position 9.Project Maximum Z,8.0707,6.6771,12.3720,6.6771,12.3720,10.6336,3.6416,2.8218,79.0099,0.8969,194,1.2905,0.7749,0.9549
195,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0195-0001-0114:c:1/2 t:195/241 - 1 - Position 9.Project Maximum Z,7.4294,6.7747,12.5357,6.7747,12.5357,10.2847,3.4743,2.7227,71.7506,0.8826,195,1.2760,0.7837,0.9512
196,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0196-0001-0112:c:1/2 t:196/241 - 1 - Position 9.Project Maximum Z,7.4778,6.7315,12.3665,6.7315,12.3665,10.3758,3.5940,2.6492,76.4606,0.8728,196,1.3566,0.7371,0.9471
197,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0197-0001-0113:c:1/2 t:197/241 - 1 - Position 9.Project Maximum Z,7.7682,6.7210,12.4122,6.7210,12.4122,10.4780,3.5322,2.8002,77.8173,0.8891,197,1.2614,0.7928,0.9582
198,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0198-0001-0113:c:1/2 t:198/241 - 1 - Position 9.Project Maximum Z,7.8529,6.6752,12.4528,6.6752,12.4528,10.3869,3.5612,2.8077,83.2919,0.9147,198,1.2684,0.7884,0.9643
199,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0199-0001-0113:c:1/2 t:199/241 - 1 - Position 9.Project Maximum Z,7.5504,6.6945,12.4547,6.6945,12.4547,10.2847,3.3893,2.8364,82.3413,0.8970,199,1.1949,0.8369,0.9571
